Date,Sales,Orders,Average_Order_Value
2021-01-01,86433,85,1016.86
2021-01-02,85402,79,1081.04
2021-01-03,93981,107,878.33
2021-01-04,90862,98,927.16
2021-01-05,78378,78,1004.85
2021-01-06,81828,86,951.49
2021-01-07,88797,103,862.11
2021-01-08,87334,89,981.28
2021-01-09,93719,94,997.01
2021-01-10,90497,95,952.6
2021-01-11,94335,97,972.53
2021-01-12,94423,102,925.72
2021-01-13,91766,86,1067.05
2021-01-14,97091,111,874.69
2021-01-15,94672,105,901.64
2021-01-16,93754,99,947.01
2021-01-17,99834,98,1018.71
2021-01-18,89916,108,832.56
2021-01-19,98741,117,843.94
2021-01-20,95122,121,786.13
2021-01-21,95075,100,950.75
2021-01-22,93404,109,856.92
2021-01-23,107032,116,922.69
2021-01-24,101399,101,1003.95
2021-01-25,96231,107,899.36
2021-01-26,97140,100,971.4
2021-01-27,101686,110,924.42
2021-01-28,101502,101,1004.97
2021-01-29,102283,104,983.49
2021-01-30,107432,120,895.27
2021-01-31,115700,124,933.06
2021-02-01,100303,97,1034.05
2021-02-02,100396,102,984.27
2021-02-03,99608,119,837.04
2021-02-04,106612,106,1005.77
2021-02-05,109490,127,862.13
2021-02-06,108966,103,1057.92
2021-02-07,106268,103,1031.73
2021-02-08,102407,105,975.3
2021-02-09,109614,114,961.53
2021-02-10,110599,119,929.4
2021-02-11,110266,110,1002.42
2021-02-12,105395,115,916.48
2021-02-13,114500,118,970.34
2021-02-14,114546,112,1022.73
2021-02-15,111070,123,903.01
2021-02-16,114571,127,902.13
2021-02-17,112218,131,856.63
2021-02-18,114828,133,863.37
2021-02-19,112637,140,804.55
2021-02-20,118693,118,1005.87
2021-02-21,120790,110,1098.09
2021-02-22,107448,101,1063.84
2021-02-23,113121,138,819.72
2021-02-24,112995,112,1008.88
2021-02-25,112787,106,1064.03
2021-02-26,114973,126,912.48
2021-02-27,127985,134,955.11
2021-02-28,117906,149,791.32
2021-03-01,122202,126,969.86
2021-03-02,110812,128,865.72
2021-03-03,117416,122,962.43
2021-03-04,120191,146,823.23
2021-03-05,122630,123,996.99
2021-03-06,128223,124,1034.06
2021-03-07,129120,146,884.38
2021-03-08,120006,140,857.19
2021-03-09,120018,154,779.34
2021-03-10,126479,136,929.99
2021-03-11,122274,135,905.73
2021-03-12,117908,143,824.53
2021-03-13,123559,125,988.47
2021-03-14,125029,137,912.62
2021-03-15,127408,147,866.72
2021-03-16,126312,139,908.72
